## RunInfo	version:1.2.0-a	annotated_features:27812	total_fragments:2717	pair_mapped:0	pair_mixed:0	single_mapped:2717	unmapped:0	unique:854	ambig:1863	overlap_unique:883	overlap_ambig:1834
transcript	transcript_length	final_prop	init_prop
LTR25_10p15.1a	3389	0.0	0.0
ERVLB4_10p15.1	1123	0.0	0.0
L1FLnI_10p15.1a	8585	0.0	0.0
HERVL_10p15.1	1700	0.0	0.0
HML4_10p15.1	9329	0.0	0.0
HML1_10p15.1	3177	0.0	0.0
HERVFRD_10p15.1b	1944	0.0	0.0
PABLB_10p15.1b	933	0.0	0.0
PABLB_10p15.1a	3994	0.0	0.0
HERVFRD_10p15.1a	1945	0.0	0.0
MER61_10p15.1	2304	0.0	0.0
MER41_10p15.1	2875	0.0	0.0
ERV316A3_9q33.3	919	0.0	0.0
ERVLE_10p15.1c	1105	0.0	0.0
ERV316A3_10p15.1a	519	0.0	0.0
ERVLE_10p15.1b	3195	0.0	0.0
ERVL_10p15.1	1669	0.0	0.0
ERVLE_10p15.1a	1495	0.0	0.0
ERVLE_10p15.2	2161	0.0	0.0
L1FLnI_10p15.2	9588	0.0	0.0
ERV316A3_10p15.2	946	0.0	0.0
HERVH_10p15.3b	2566	0.0	0.0
ERV316A3_10p15.3d	531	0.0	0.0
ERV316A3_10p15.3c	1339	0.0	0.0
LTR19_10p15.1	4195	0.0	0.0
LTR25_10p15.1b	1357	0.0	0.0
L1FLnI_10p15.1b	10168	0.0	0.0
LTR25_10p15.1c	2931	0.0	0.0
HERVL_10p14	1957	0.0	0.0
ERVLE_10p14c	1509	0.0	0.0
ERVLE_10p14b	1081	0.0	0.0
ERV316A3_10p14a	3132	0.0	0.0
ERVLE_10p14a	1136	0.0	0.0
L1FLnI_10p14d	9409	0.0	0.0
L1FLnI_10p14c	9420	0.0	0.0
L1FLnI_10p14b	9436	0.0	0.0
L1FLnI_10p14a	10157	0.0	0.0
HERVH_10p14b	5866	0.0	0.0
HERVH_10p14a	5958	0.0	0.0
L1FLnI_10p15.1e	9298	0.0	0.0
L1ORF2_10p15.1	8047	0.0	0.0
ERV316A3_10p15.1d	515	0.0	0.0
ERV316A3_10p15.1c	1660	0.0	0.0
ERV316A3_10p15.1b	1016	0.0	0.0
ERVLE_10p15.1e	2563	0.0	0.0
HERVH_10p15.1	5941	0.0	0.0
ERVLE_10p15.1d	1677	0.0	0.0
MER4_10p15.1	2241	0.0	0.0
L1FLI_10p15.1	8047	0.0	0.0
L1FLnI_10p15.1d	10379	0.0	0.0
L1FLnI_10p15.1c	10165	0.0	0.0
ERV316A3_10p15.3b	1028	0.0	0.0
ERV316A3_10p15.3a	771	0.0	0.0
ERVLB4_10p15.3	945	0.0	0.0
ERV316A3_9q34.3a	972	0.0	0.0
ERVLE_9q34.2	1183	0.0	0.0
ERV316A3_9q34.2a	3197	0.0	0.0
L1FLnI_9q34.2	10023	0.0	0.0
HUERSP1_9q34.2	6303	0.0	0.0
HERV3_9q34.13	4220	0.0	0.0
HERVI_9q34.13	6430	0.0	0.0
MER101_9q34.13	1085	0.0	0.0
ERV316A3_9q34.13	2623	0.0	0.0
HML3_9q34.13	5439	0.0	0.0
HERVH_9q34.13	4246	0.0	0.0
ERV316A3_9q34.12	1082	0.0	0.0
ERVLB4_9q34.11	2670	0.0	0.0
LTR19_9q34.11	1050	0.0	0.0
HERVFH19_9q34.11	4685	0.0	0.0
HERVH_9q33.3b	1454	0.0	0.0
L1FLnI_9q33.3g	9497	0.0	0.0
L1FLnI_9q33.3f	9513	0.0	0.0
ERVLE_9q33.3c	2356	0.0	0.0
ERVLE_9q33.3b	4082	0.0	0.0
ERVLB4_9q33.3c	1249	0.0	0.0
ERVLB4_9q33.3b	4959	0.0	0.0
L1FLnI_9q33.3e	8538	0.0	0.0
L1FLnI_9q33.3d	9406	0.0	0.0
ERV316A3_9q34.2b	502	0.0	0.0
HERVL_9q34.3	3928	0.0	0.0
HERVH_10p15.3a	5501	0.0	0.0
ERVLE_9q34.3a	970	0.0	0.0
L1FLnI_10p15.3d	10075	0.0	0.0
L1FLnI_10p15.3c	10138	0.0	0.0
L1FLnI_10p15.3b	8715	0.0	0.0
HERVL_10p15.3	1775	0.0	0.0
PRIMA41_10p15.3	2080	0.0	0.0
L1FLnI_10p15.3a	10014	0.0	0.0
L1FLnI_9q34.3	10422	0.0	0.0
PRIMA41_9q34.3	2048	0.0	0.0
HERV4_9q34.3b	3646	0.0	0.0
HERV4_9q34.3a	1585	0.0	0.0
ERV316A3_9q34.3d	698	0.0	0.0
HERVH_9q34.3	5214	0.0	0.0
MER101_9q34.3	1377	0.0	0.0
HML2_9q34.3	7678	0.0	0.0
HERVL40_9q34.3	2008	0.0	0.0
ERVLE_9q34.3b	1316	0.0	0.0
ERV316A3_9q34.3c	1699	0.0	0.0
PABLB_9q34.3	5188	0.0	0.0
MER4_9q34.3	1777	0.0	0.0
MER4B_9q34.3	2984	0.0	0.0
HERVE_9q34.3	6589	0.0	0.0
ERV316A3_9q34.3b	1830	0.0	0.0
HERVP71A_9q34.3	4475	0.0	0.0
L1FLnI_10p14e	10150	0.0	0.0
ERVLE_10p14d	1947	0.0	0.0
ERV316A3_10p14b	3265	0.0	0.0
HERV9_10p12.31	7623	0.0	0.0
HERVL40_10p12.31c	1254	0.0	0.0
L1FLnI_10p12.31w	10208	0.0	0.0
L1FLnI_10p12.31v	10187	0.0	0.0
L1FLnI_10p12.31u	10408	0.0	0.0
L1FLnI_10p12.31t	10134	0.0	0.0
HERVL40_10p12.31b	1498	0.0	0.0
HERVL40_10p12.31a	1829	0.0	0.0
L1FLnI_10p12.31s	10148	0.0	0.0
L1FLnI_10p12.31r	10024	0.0	0.0
L1FLnI_10p12.31q	10192	0.0	0.0
L1FLnI_10p12.31p	10131	0.0	0.0
L1FLnI_10p12.31o	10151	0.0	0.0
L1FLnI_10p12.31n	9312	0.0	0.0
L1FLnI_10p12.31m	10147	0.0	0.0
L1FLnI_10p12.31l	9618	0.0	0.0
L1FLnI_10p12.31k	10391	0.0	0.0
L1FLnI_10p12.31j	8753	0.0	0.0
L1FLnI_10p12.31i	10155	0.0	0.0
HERVH_10p12.31	5726	0.0	0.0
L1FLnI_10p12.31h	9172	0.0	0.0
L1FLnI_10p12.31g	10020	0.0	0.0
L1FLnI_10p12.31f	10034	0.0	0.0
MER34B_10p12.31	1035	0.0	0.0
L1FLnI_10p12.31x	10029	0.0	0.0
ERV316A3_10p12.31	1964	0.0	0.0
L1FLI_10p12.31	8053	0.0	0.0
ERVLE_10p12.31	552	0.0	0.0
HERVH_10p12.1a	6503	0.0	0.0
L1FLnI_10p12.1e	10250	0.0	0.0
L1FLnI_10p12.1d	11306	0.0	0.0
L1FLnI_10p12.1c	10021	0.0	0.0
L1FLnI_10p12.1b	8816	0.0	0.0
L1FLnI_10p12.1a	10025	0.0	0.0
MER41_10p12.1	2530	0.0	0.0
L1FLnI_10p12.2k	10153	0.0	0.0
L1FLnI_10p12.2j	10148	0.0	0.0
L1FLnI_10p12.2i	10145	0.0	0.0
ERVLE_10p12.2b	1141	0.0	0.0
L1FLnI_10p12.2h	10153	0.0	0.0
L1FLnI_10p12.2g	9573	0.0	0.0
ERVLE_10p12.2a	1512	0.0	0.0
HERVW_10p12.2	5303	0.0	0.0
L1FLnI_10p12.2f	9463	0.0	0.0
MER61_10p12.2	4552	0.0	0.0
L1FLnI_10p12.2e	8644	0.0	0.0
L1FLnI_10p12.2d	8621	0.0	0.0
L1FLnI_10p12.2c	9481	0.0	0.0
L1FLnI_10p12.2b	10413	0.0	0.0
ERV316A3_10p12.2	3029	0.0	0.0
L1FLnI_10p12.2a	10014	0.0	0.0
L1FLnI_10p12.31e	9996	0.0	0.0
L1FLnI_10p12.31d	9450	0.0	0.0
ERV316A3_10p14c	1667	0.0	0.0
L1FLnI_10p13d	8887	0.0	0.0
HERVE_10p13b	4067	0.0	0.0
HERVE_10p13a	2188	0.0	0.0
L1FLnI_10p13c	8779	0.0	0.0
HERVIP10FH_10p13	1187	0.0	0.0
MER61_10p13	5902	0.0	0.0
L1FLnI_10p13b	9246	0.0	0.0
ERVLE_10p13b	3526	0.0	0.0
ERVLE_10p13a	1460	0.0	0.0
L1FLnI_10p13a	9302	0.0	0.0
L1ORF2_10p14	8048	0.0	0.0
ERVL_10p14	1093	0.0	0.0
ERVLB4_10p14	911	0.0	0.0
L1FLnI_10p14j	9991	0.0	0.0
L1FLnI_10p14i	10026	0.0	0.0
L1FLnI_10p14h	8523	0.0	0.0
ERVLE_10p14i	1686	0.0	0.0
ERVLE_10p14h	1971	0.0	0.0
ERVLE_10p14g	863	0.0	0.0
ERV316A3_10p14d	1570	0.0	0.0
ERVLE_10p14f	2821	0.0	0.0
L1FLnI_10p14g	10083	0.0	0.0
L1FLnI_10p14f	9795	0.0	0.0
ERVLE_10p14e	1535	0.0	0.0
HERVE_10p13c	2056	0.0	0.0
ERVLB4_10p13a	1021	0.0	0.0
L1FLnI_10p12.31c	8714	0.0	0.0
L1FLnI_10p13e	9521	0.0	0.0
ERVLB4_10p12.31	5008	0.0	0.0
L1FLnI_10p12.31b	10003	0.0	0.0
L1FLnI_10p12.31a	10398	0.0	0.0
HERVIP10F_10p12.31	4570	0.0	0.0
L1FLnI_10p12.33c	10023	0.0	0.0
L1FLnI_10p12.33b	10034	0.0	0.0
ERV316A3_10p12.33	1078	0.0	0.0
L1FLnI_10p12.33a	9099	0.0	0.0
HERVH_10p12.33	2125	0.0	0.0
MER4_10p12.33	5337	0.0	0.0
ERV316A3_10p13b	3301	0.0	0.0
HERV9_10p13	7762	0.0	0.0
L1FLnI_10p13i	9528	0.0	0.0
L1FLnI_10p13h	9988	0.0	0.0
HERVL_10p13c	1489	0.0	0.0
HERVL_10p13b	1940	0.0	0.0
ERV316A3_10p13a	1070	0.0	0.0
ERVLB4_10p13c	6202	0.0	0.0
L1FLnI_10p13g	10145	0.0	0.0
HERVL_10p13a	6084	0.0	0.0
ERVLB4_10p13b	1169	0.0	0.0
L1ORF2_10p13	8044	0.0	0.0
L1FLnI_10p13f	10175	0.0	0.0
HERVH_9q33.3a	5960	0.0	0.0
PABLA_9q33.3	3165	0.0	0.0
ERVLB4_10p12.1a	3362	0.0	0.0
MER41_9q31.1b	1176	0.0	0.0
L1FLnI_9q31.1n	9762	0.0	0.0
L1FLnI_9q31.1m	9911	0.0	0.0
ERVLE_9q31.1b	1611	0.0	0.0
L1FLnI_9q31.1l	10140	0.0	0.0
L1FLnI_9q31.1k	8719	0.0	0.0
MER101_9q31.1a	5160	0.0	0.0
ERVLE_9q31.1a	988	0.0	0.0
MER4B_9q31.1a	1163	0.0	0.0
L1FLnI_9q31.1j	10155	0.0	0.0
HERVL_9q31.1b	2124	0.0	0.0
HML1_9q31.1	3179	0.0	0.0
L1FLnI_9q31.1i	10029	0.0	0.0
MER41_9q33.3	2352	0.0	0.0
HERVL32_9q31.1	2054	0.0	0.0
L1FLnI_9q31.1h	10109	0.0	0.0
L1FLnI_9q31.1g	10085	0.0	0.0
L1FLnI_9q31.1f	10026	0.0	0.0
L1FLnI_9q31.1e	10022	0.0	0.0
HML5_9q31.1	4884	0.0	0.0
L1FLnI_9q31.1d	10134	0.0	0.0
L1FLnI_9q31.1c	10450	0.0	0.0
HERVL40_9q31.1a	2885	0.0	0.0
L1FLnI_9q31.1b	10249	0.0	0.0
HERVH_9q31.1	6339	0.0	0.0
ERV316A3_9q31.1a	2320	0.0	0.0
L1FLnI_9q31.1o	10019	0.0	0.0
L1FLnI_9q31.1p	10014	0.0	0.0
L1FLnI_9q31.1q	8692	0.0	0.0
MER4_9q31.1	6204	0.0	0.0
ERV316A3_9q31.1c	1984	0.0	0.0
MER41_9q31.1c	6453	0.0	0.0
ERV316A3_9q31.1b	3370	0.0	0.0
L1FLnI_9q31.1ba	10152	0.0	0.0
L1FLnI_9q31.1aa	9542	0.0	0.0
L1FLnI_9q31.1z	9468	0.0	0.0
ERVLE_9q31.1d	828	0.0	0.0
L1FLnI_9q31.1y	10458	0.0	0.0
L1FLnI_9q31.1x	10078	0.0	0.0
ERVLE_9q31.1c	829	0.0	0.0
MER61_9q31.1	5412	0.0	0.0
L1FLnI_9q31.1w	9654	0.0	0.0
HERVL_9q31.1c	6500	0.0	0.0
HERVL40_9q31.1c	2623	0.0	0.0
L1FLnI_9q31.1v	10964	0.0	0.0
L1FLnI_9q31.1u	9693	0.0	0.0
L1FLnI_9q31.1t	10087	0.0	0.0
ERVL_9q31.1	2911	0.0	0.0
L1FLnI_9q31.1s	9329	0.0	0.0
MER4B_9q31.1b	3502	0.0	0.0
HERVL40_9q31.1b	4314	0.0	0.0
L1FLnI_9q31.1r	10151	0.0	0.0
HERVL_9q31.1a	4493	0.0	0.0
MER41_9q31.1a	4400	0.0	0.0
L1FLnI_9q31.1a	10103	0.0	0.0
L1FLnI_9q22.33a	9517	0.0	0.0
MER41_9q22.32	4579	0.0	0.0
L1FLI_9q22.32	8040	0.0	0.0
L1FLnI_9q22.32g	9859	0.0	0.0
MER4_9q22.32	7065	0.0	0.0
L1FLnI_9q22.32f	10421	0.0	0.0
PRIMA41_9q22.32	2854	0.0	0.0
LTR57_9q22.32	986	0.0	0.0
HERVH_9q22.32	5629	0.0	0.0
PABLA_9q22.32	3856	0.0	0.0
ERVLB4_9q22.32	1694	0.0	0.0
L1FLnI_9q22.32e	10138	0.0	0.0
L1FLnI_9q22.32d	10029	0.0	0.0
L1FLnI_9q22.32c	10020	0.0	0.0
L1FLnI_9q22.32b	10513	0.0	0.0
L1FLnI_9q22.32a	10153	0.0	0.0
ERVLE_9q22.32	5207	0.0	0.0
HERVL_9q22.32	2177	0.0	0.0
L1FLnI_9q22.31i	11631	0.0	0.0
HML3_9q22.31	4716	0.0	0.0
HERVL18_9q22.31	2707	0.0	0.0
ERVLB4_9q22.31e	610	0.0	0.0
MER4_9q22.31b	1883	0.0	0.0
MER4_9q22.31a	2834	0.0	0.0
ERVLB4_9q22.33a	2407	0.0	0.0
L1FLnI_9q22.33b	10179	0.0	0.0
HERVH_9q22.33c	6117	0.0	0.0
ERVLB4_9q22.33b	2071	0.0	0.0
L1FLnI_9q22.33k	9595	0.0	0.0
L1FLnI_9q22.33j	10017	0.0	0.0
MER4_9q22.33	7163	0.0	0.0
ERVLE_9q22.33	703	0.0	0.0
ERV316A3_9q22.33b	1981	0.0	0.0
ERV316A3_9q22.33a	5474	0.0	0.0
L1FLnI_9q22.33i	10121	0.0	0.0
L1FLnI_9q22.33h	10137	0.0	0.0
HERVH_9q22.33b	5493	0.0	0.0
LTR23_9q22.33b	733	0.0	0.0
LTR23_9q22.33a	2256	0.0	0.0
HUERSP1_9q22.33	3419	0.0	0.0
MER4B_9q22.33	1731	0.0	0.0
L1FLnI_9q22.33g	10153	0.0	0.0
L1FLnI_9q22.33f	10156	0.0	0.0
LTR46_9q22.33	890	0.0	0.0
L1FLnI_9q22.33e	10037	0.0	0.0
ERVLB4_9q22.33e	1689	0.0	0.0
L1FLnI_9q22.33d	9185	0.0	0.0
ERVLB4_9q22.33d	3547	0.0	0.0
HERVH_9q22.33a	5512	0.0	0.0
L1FLnI_9q22.33c	10161	0.0	0.0
ERVLB4_9q22.33c	683	0.0	0.0
ERV316A3_9q31.1d	1578	0.0	0.0
L1FLnI_9q31.1ca	9713	0.0	0.0
MER101_9q31.1b	935	0.0	0.0
L1FLnI_9q33.2a	10028	0.0	0.0
L1FLnI_9q33.1r	10045	0.0	0.0
L1FLnI_9q33.1q	10015	0.0	0.0
L1FLnI_9q33.1p	8774	0.0	0.0
L1FLnI_9q33.1o	9969	0.0	0.0
L1FLnI_9q33.1n	10287	0.0	0.0
L1FLnI_9q33.1m	10242	0.0	0.0
ERVLB4_9q33.1b	2000	0.0	0.0
L1FLnI_9q33.1l	9109	0.0	0.0
L1FLnI_9q33.1k	10130	0.0	0.0
L1FLnI_9q33.1j	10068	0.0	0.0
HERVH_9q33.1d	5761	0.0	0.0
ERVLE_9q33.1	1990	0.0	0.0
L1FLnI_9q33.1i	8708	0.0	0.0
L1FLnI_9q33.1h	9247	0.0	0.0
L1FLnI_9q33.1g	10018	0.0	0.0
HUERSP1_9q33.1b	2428	0.0	0.0
HUERSP1_9q33.1a	4854	0.0	0.0
L1FLnI_9q33.1f	9831	0.0	0.0
L1FLnI_9q33.1e	9126	0.0	0.0
L1FLnI_9q33.1d	9987	0.0	0.0
L1FLnI_9q33.1c	10117	0.0	0.0
L1FLnI_9q33.1b	9926	0.0	0.0
HERVH_9q33.1c	5748	0.0	0.0
L1FLnI_9q33.1s	10025	0.0	0.0
ERVLE_9q33.2a	1387	0.0	0.0
ERVLB4_9q33.1a	3191	0.0	0.0
L1FLnI_9q33.2b	9506	0.0	0.0
L1FLnI_9q33.3c	10163	0.0	0.0
L1FLnI_9q33.3b	10140	0.0	0.0
ERVLB4_9q33.3a	1816	0.0	0.0
ERVLE_9q33.3a	1683	0.0	0.0
L1FLnI_9q33.3a	9994	0.0	0.0
L1FLnI_9q33.2g	11373	0.0	0.0
HML3_9q33.2	1864	0.0	0.0
L1FLnI_9q33.2f	10025	0.0	0.0
ERVL_9q33.2b	1565	0.0	0.0
HERVH_9q33.2b	5520	0.0	0.0
ERV316A3_9q33.2	2618	0.0	0.0
HERVL66_9q33.2	1101	0.0	0.0
HUERSP1_9q33.2	5490	0.0	0.0
L1FLnI_9q33.2e	10139	0.0	0.0
ERVLE_9q33.2d	395	0.0	0.0
HERVH_9q33.2a	6764	0.0	0.0
LTR25_9q33.2	1403	0.0	0.0
ERVLB4_9q33.2	1671	0.0	0.0
ERVLE_9q33.2c	3682	0.0	0.0
L1FLnI_9q33.2d	9001	0.0	0.0
ERVLE_9q33.2b	2336	0.0	0.0
ERVL_9q33.2a	599	0.0	0.0
L1FLnI_9q33.2c	10131	0.0	0.0
L1FLnI_9q33.1a	10424	0.0	0.0
HERVH_9q33.1b	5728	0.0	0.0
L1FLnI_9q31.2a	10140	0.0	0.0
L1FLnI_9q31.3a	10098	0.0	0.0
L1FLnI_9q31.2s	8574	0.0	0.0
L1FLnI_9q31.2r	9032	0.0	0.0
L1FLnI_9q31.2q	10794	0.0	0.0
ERVLE_9q31.2b	568	0.0	0.0
L1FLnI_9q31.2p	11428	0.0	0.0
L1FLnI_9q31.2o	10141	0.0	0.0
L1FLnI_9q31.2n	10160	0.0	0.0
ERVLE_9q31.2a	1659	0.0	0.0
L1FLnI_9q31.2m	10161	0.0	0.0
L1FLnI_9q31.2l	10543	0.0	0.0
L1FLnI_9q31.2k	10165	0.0	0.0
HERVH_9q31.2	5563	0.0	0.0
L1FLnI_9q31.2j	10141	0.0	0.0
L1FLnI_9q31.2i	9579	0.0	0.0
L1FLnI_9q31.2h	10139	0.0	0.0
L1FLnI_9q31.2g	10023	0.0	0.0
HERVL_9q31.2	4619	0.0	0.0
L1FLnI_9q31.2f	9700	0.0	0.0
L1FLnI_9q31.2e	10134	0.0	0.0
L1FLnI_9q31.2d	10017	0.0	0.0
ERVLB4_9q31.2	623	0.0	0.0
L1FLnI_9q31.2c	10024	0.0	0.0
L1FLnI_9q31.2b	10123	0.0	0.0
L1FLnI_9q31.2t	10023	0.0	0.0
L1FLnI_9q31.3b	10114	0.0	0.0
HERVH_9q33.1a	5679	0.0	0.0
L1FLnI_9q31.3c	10133	0.0	0.0
ERV316A3_9q33.1	1299	0.0	0.0
L1FLnI_9q32c	10029	0.0	0.0
ERV316A3_9q32b	891	0.0	0.0
L1FLnI_9q32b	10318	0.0	0.0
ERVLE_9q32b	903	0.0	0.0
HERVL40_9q32	925	0.0	0.0
ERVLE_9q32a	560	0.0	0.0
ERV316A3_9q32a	2099	0.0	0.0
L1FLnI_9q32a	10031	0.0	0.0
HERVK11_9q32	8154	0.0	0.0
HERVL_9q32	3372	0.0	0.0
ERVLB4_9q31.3	1579	0.0	0.0
HERVW_9q31.3	1767	0.0	0.0
ERVLE_9q31.3	850	0.0	0.0
HERVL_9q31.3	1236	0.0	0.0
ERV316A3_9q31.3	1746	0.0	0.0
L1FLnI_9q31.3h	10031	0.0	0.0
L1FLnI_9q31.3g	10023	0.0	0.0
L1FLnI_9q31.3f	10099	0.0	0.0
MER4_9q31.3b	3066	0.0	0.0
MER4_9q31.3a	1461	0.0	0.0
L1FLnI_9q31.3e	10481	0.0	0.0
L1FLnI_9q31.3d	10162	0.0	0.0
HERVH_10p12.1b	5955	0.0	0.0
L1FLnI_10p12.1f	9699	0.0	0.0
L1FLnI_10q23.1d	9851	0.0	0.0
L1FLnI_10q21.1qa	10064	0.0	0.0
L1FLnI_10q21.2c	9556	0.0	0.0
L1FLnI_10q21.2b	9506	0.0	0.0
L1FLnI_10q21.2a	10128	0.0	0.0
ERV316A3_10q21.1h	552	0.0	0.0
L1FLnI_10q21.1va	10145	0.0	0.0
L1FLnI_10q21.1ua	8800	0.0	0.0
HERVH_10q21.1f	5855	0.0	0.0
L1FLnI_10q21.1ta	10119	0.0	0.0
L1FLnI_10q21.1sa	9793	0.0	0.0
HERVL18_10q21.1c	3087	0.0	0.0
L1FLnI_10q21.1ra	9161	0.0	0.0
ERV316A3_10q21.1g	1259	0.0	0.0
L1FLnI_10q21.1g	10005	0.0	0.0
L1FLnI_10q21.1pa	10098	0.0	0.0
L1FLnI_10q21.1oa	9579	0.0	0.0
HERV9_10q21.1b	9840	0.0	0.0
HERVL18_10q21.1b	2124	0.0	0.0
HUERSP3B_10q21.1b	7042	0.0	0.0
L1FLnI_10q21.1na	10124	0.0	0.0
L1FLnI_10q21.1ma	8592	0.0	0.0
L1FLnI_10q21.1la	9169	0.0	0.0
HUERSP3B_10q21.1a	5559	0.0	0.0
L1FLnI_10q21.1ka	10086	0.0	0.0
ERV316A3_10q21.1f	1134	0.0	0.0
L1FLnI_10q21.2d	9648	0.0	0.0
L1FLnI_10q21.2e	10161	0.0	0.0
HARLEQUIN_10q21.2a	7477	0.0	0.0
HARLEQUIN_10q21.2b	5688	0.0	0.0
L1FLnI_10q21.3c	10151	0.0	0.0
HML3_10q21.3	4248	0.0	0.0
L1FLnI_10q21.3b	8656	0.0	0.0
MER4B_10q21.3	434	0.0	0.0
L1FLnI_10q21.3a	10140	0.0	0.0
L1FLnI_10q21.2k	10144	0.0	0.0
L1FLnI_10q21.2j	10004	0.0	0.0
ERVLE_10q21.2	1791	0.0	0.0
ERVL_10q21.2	3882	0.0	0.0
MER41_10q21.2	4689	0.0	0.0
ERVLB4_10q21.2	2545	0.0	0.0
ERV316A3_10q21.2b	1681	0.0	0.0
HERVL_10q21.2	6036	0.0	0.0
PABLB_10q21.2	1917	0.0	0.0
ERV316A3_10q21.2a	3395	0.0	0.0
MER4_10q21.2b	1489	0.0	0.0
MER4_10q21.2a	2419	0.0	0.0
HERVW_10q21.2b	4051	0.0	0.0
HERVW_10q21.2a	2082	0.0	0.0
L1FLnI_10q21.2i	10093	0.0	0.0
L1FLnI_10q21.2h	9936	0.0	0.0
L1FLnI_10q21.2g	9949	0.0	0.0
L1FLnI_10q21.2f	8890	0.0	0.0
L1FLnI_10q21.1ja	9301	0.0	0.0
HUERSP3_10q21.1	4611	0.0	0.0
HERVL_10q21.1c	6471	0.0	0.0
L1FLnI_10q21.1v	9788	0.0	0.0
ERVLE_10q21.1b	913	0.0	0.0
ERVLE_10q21.1a	1086	0.0	0.0
L1FLnI_10q21.1t	10066	0.0	0.0
HERVH_10q21.1d	5818	0.0	0.0
HERVL_10q21.1b	3043	0.0	0.0
L1FLnI_10q21.1s	10426	0.0	0.0
L1FLnI_10q21.1r	11396	0.0	0.0
L1FLnI_10q21.1q	9430	0.0	0.0
HERVL40_10q21.1	1472	0.0	0.0
HERVH_10q21.1c	4684	0.0	0.0
L1FLnI_10q21.1p	10016	0.0	0.0
HERVH_10q21.1b	1224	0.0	0.0
L1FLnI_10q21.1o	10109	0.0	0.0
HML3_10q21.1	5363	0.0	0.0
L1FLnI_10q21.1n	8500	0.0	0.0
ERV316A3_10q21.1a	3100	0.0	0.0
HERV30_10q21.1	5486	0.0	0.0
HERVS71_10q21.1	9719	0.0	0.0
L1FLnI_10q21.1m	9492	0.0	0.0
L1FLnI_10q21.1l	8501	0.0	0.0
L1FLnI_10q21.1k	10171	0.0	0.0
L1FLnI_10q21.1j	10353	0.0	0.0
L1FLnI_10q21.1i	9273	0.0	0.0
L1FLnI_10q21.1u	10237	0.0	0.0
L1FLnI_10q21.1w	9331	0.0	0.0
HERVL18_10q21.1a	2928	0.0	0.0
L1FLnI_10q21.1x	9073	0.0	0.0
ERV316A3_10q21.1e	1425	0.0	0.0
L1FLnI_10q21.1ia	8591	0.0	0.0
L1FLnI_10q21.1ha	10136	0.0	0.0
LTR57_10q21.1	5259	0.0	0.0
HERV9_10q21.1a	2940	0.0	0.0
ERV316A3_10q21.1d	2187	0.0	0.0
L1FLnI_10q21.1ga	10156	0.0	0.0
ERVLB4_10q21.1b	4667	0.0	0.0
L1FLnI_10q21.1fa	8603	0.0	0.0
L1FLnI_10q21.1ea	8792	0.0	0.0
L1FLnI_10q21.1da	9952	0.0	0.0
L1FLnI_10q21.1ca	9932	0.0	0.0
ERVLE_10q21.1c	704	0.0	0.0
HERVH_10q21.1e	6630	0.0	0.0
L1FLnI_10q21.1ba	10041	0.0	0.0
HERVL74_10q21.1	4581	0.0	0.0
L1FLnI_10q21.1aa	8880	0.0	0.0
ERV316A3_10q21.1c	1919	0.0	0.0
L1FLnI_10q21.1z	10015	0.0	0.0
L1FLnI_10q21.1y	10034	0.0	0.0
ERV316A3_10q21.1b	1045	0.0	0.0
ERVLB4_10q21.1a	1161	0.0	0.0
HUERSP2_10q21.1	4500	0.0	0.0
L1FLnI_10q21.3d	10133	0.0	0.0
HERVFRD_10q21.3	5820	0.0	0.0
L1FLnI_10q21.3e	10204	0.0	0.0
ERVLE_10q22.3	690	0.0	0.0
HERVH_10q22.3a	5414	0.0	0.0
L1FLnI_10q22.3f	9169	0.0	0.0
L1FLnI_10q22.3e	9844	0.0	0.0
L1FLnI_10q22.3d	10315	0.0	0.0
L1ORF2_10q22.3	8050	0.0	0.0
L1FLnI_10q22.3c	9126	0.0	0.0
L1FLnI_10q22.3b	10128	0.0	0.0
L1FLnI_10q22.3a	10144	0.0	0.0
L1FLnI_10q22.2g	10006	0.0	0.0
L1FLnI_10q22.2f	10155	0.0	0.0
L1FLnI_10q22.2e	10136	0.0	0.0
PRIMA41_10q22.2	5312	0.0	0.0
MER4_10q22.2	1984	0.0	0.0
L1FLnI_10q22.2d	10440	0.0	0.0
L1FLnI_10q22.2c	10446	0.0	0.0
L1FLnI_10q22.2b	10140	0.0	0.0
L1FLnI_10q22.2a	10165	0.0	0.0
L1FLnI_10q22.1d	10018	0.0	0.0
L1FLnI_10q22.1c	8583	0.0	0.0
L1FLnI_10q22.1b	10143	0.0	0.0
HERVFH21_10q22.1b	1628	0.0	0.0
HML1_10q22.1	4990	0.0	0.0
HERVFH21_10q22.1a	5647	0.0	0.0
L1FLnI_10q22.3g	10120	0.0	0.0
L1FLnI_10q22.3h	8797	0.0	0.0
PABLA_10q22.1	2497	0.0	0.0
L1FLnI_10q22.3i	10028	0.0	0.0
HERVI_10q23.1	8720	0.0	0.0
L1FLnI_10q23.1c	10034	0.0	0.0
L1FLnI_10q23.1b	9713	0.0	0.0
L1FLnI_10q23.1a	9756	0.0	0.0
HML1_10q22.3	2952	0.0	0.0
MER4_10q22.3	704	0.0	0.0
LTR57_10q22.3	256	0.0	0.0
MER4B_10q22.3	5004	0.0	0.0
ERVLB4_10q22.3c	1062	0.0	0.0
ERVLB4_10q22.3b	1029	0.0	0.0
HERVH_10q22.3b	1633	0.0	0.0
L1FLnI_10q22.3n	10144	0.0	0.0
